medcodeid,term,cleansedreadcode,snomedctconceptid,_qofcode,smi
6357571000006119,bipolar 1 disorder,,371596008,1,1
1785851000006110,bipolar i disorder,Eu31800,371596008,1,1
6357621000006116,severe bipolar i disorder,,371599001,0,1
6357631000006118,severe bipolar disorder,,371600003,0,1
6357651000006113,severe bipolar ii disorder,,371604007,0,1
3118041000006112,"schizoaffective disorder, bipolar type",,38368003,1,1
6515001000006117,early intervention in psychosis,,390815004,0,1
6519871000006118,early intervention in psychosis - 24 hour intensive,,391183008,0,1
6519881000006115,early intervention in psychosis - 24 hour not intensive,,391184002,0,1
6519891000006117,early intervention in psychosis - part day : day care,,391185001,0,1
6519901000006118,early intervention in psychosis - daily intensive,,391186000,0,1
6519911000006115,early intervention in psychosis - 3-5 contacts/week,,391187009,0,1
6519921000006111,early intervention in psychosis - 1-2 contacts/week,,391188004,0,1
6519931000006114,early intervention in psychosis - 1-3 contacts/month,,391189007,0,1
6519941000006116,early intervention in psychosis - <1 contact/month,,391190003,0,1
6520581000006119,early intervention in psychosis hrgs,,391269001,0,1
3137271000006116,"undifferentiated schizophrenia, in remission",,39610001,0,1
3137261000006111,undifferentiated schizophrenia in remission,,39610001,0,1
1780205015,h/o: manic depressive disorder,146D.00,400998002,0,1
6647221000006111,history of manic depressive disorder,,400998002,0,1
3159071000006118,"moderate bipolar i disorder, most recent episode mixed",,40926005,0,1
3159061000006113,moderate mixed bipolar i disorder,,40926005,0,1
3169541000006113,"mild bipolar i disorder, single manic episode",,41552001,0,1
6890801000006117,late onset schizophrenia,,416340002,0,1
6891981000006111,referral for bipolar disorder,,416422002,0,1
215871000000115,[x]paranoia,Eu22015,417233008,1,1
12480451000006112,"[x]schizophrenia, schizotypal and delusional disorders",,417601000000102,1,1
296022017,"[x]schizophrenia, schizotypal and delusional disorders",Eu2..00,417601000000102,1,1
3174001000006110,"severe bipolar i disorder, single manic episode with psychotic features",,41832009,0,1
3174071000006116,"bipolar disorder, full remission",,41836007,0,1
294887010,bipolar disorder in full remission,E117600,41836007,0,1
11912191000006111,[v]personal history of schizophrenia,,427491000000103,0,1
71539017,subchronic catatonic schizophrenia,E102100,42868002,1,1
1227584015,[v]personal history of manic-depressive psychosis,ZV11112,429124005,0,1
3201661000006111,"bipolar ii disorder, most recent episode major depressive with atypical features",,43568002,0,1
3204771000006112,"mild bipolar i disorder, most recent episode mixed",,43769008,0,1
3204761000006117,mild mixed bipolar i disorder,,43769008,0,1
294897018,affective psychosis,E11z.00,441704009,1,1
294898011,unspecified affective psychoses nos,E11z000,441704009,1,1
294902017,other affective psychosis nos,E11zz00,441704009,1,1
389451000006110,[x]hysterical psychosis,Eu44.14,44376007,0,1
82171000006116,severe bipolar disorder with psychotic features,E117400,4441000,1,1
3233861000006118,"bipolar i disorder, most recent episode manic, in remission",,45479006,0,1
3233851000006115,manic bipolar i disorder in remission,,45479006,0,1
362781000006116,[x]affective psychosis nos,Eu3z.11,46206005,0,1
3246861000006114,"severe bipolar i disorder, most recent episode mixed, without psychotic features",,46229002,0,1
3246851000006112,severe mixed bipolar i disorder without psychotic features,,46229002,0,1
7443501000006113,bipolar partial shoulder prosthesis,,467114009,0,1
11918351000006117,"[x] manic-depressive psychosis, depressed type without psychotic symptoms",,467361000000105,0,1
7453771000006111,"endotherapy electrosurgical coagulator/cutter, bipolar, reusable",,468330009,0,1
7456141000006112,"endotherapy electrosurgical coagulator/cutter, bipolar, refurbished",,468608004,0,1
7461241000006118,humeral head bipolar component,,469222000,0,1
7467941000006117,femoral head bipolar component,,469999008,0,1
7472911000006112,"laparoscopic electrosurgical forceps, bipolar",,470560000,0,1
7488321000006114,atypical psychosis,,473452003,0,1
12717591000006112,[x] (other nonorganic psychotic disorders) or (chronic hallucinatory psychosis),,480111000000107,0,1
12759121000006115,[x]chronic hallucinatory psychosis,,480111000000107,0,1
370981000006112,[x]chronic hallucinatory psychosis,Eu2y.11,480111000000107,0,1
12759111000006111,[x] chronic hallucinatory psychosis,,480111000000107,0,1
2577941000006118,"schizophrenia, in remission",,4926007,1,1
9225016,schizophrenia in remission,E100500,4926007,1,1
3300541000006111,depressed bipolar i disorder,,49468007,0,1
3300551000006113,"bipolar i disorder, most recent episode depressed",,49468007,0,1
513711000006118,depressed bipolar i disorder in partial remission,E115500,49512000,0,1
3301331000006119,"bipolar i disorder, most recent episode depressed, in partial remission",,49512000,0,1
3328691000006112,"residual schizophrenia, in remission",,51133006,0,1
3328681000006114,residual schizophrenia in remission,,51133006,0,1
3333471000006115,amphetamine psychosis with hallucinations,,51443000,0,1
3336841000006115,"chronic bipolar i disorder, most recent episode depressed",,51637008,0,1
82151000006114,severe bipolar disorder without psychotic features,E117300,53049002,0,1
3369281000006111,depressed bipolar i disorder in remission,,53607008,1,1
3369291000006114,"bipolar i disorder, most recent episode depressed, in remission",,53607008,1,1
3385511000006118,witigo psychosis,,54560009,0,1
10122017,brief reactive psychosis,E13y100,5464005,1,1
3388771000006112,"severe bipolar i disorder, most recent episode depressed with psychotic feature, mood-congruent",,54761006,0,1
3388761000006117,"severe depressed bipolar i disorder with psychotic features, mood-congruent",,54761006,0,1
3401501000006110,"bipolar i disorder, most recent episode manic with postpartum onset",,55516002,0,1
3405421000006118,schizophreniform disorder without good prognostic features,,55736003,0,1
3417321000006119,infection by bipolaris hawaiiense,,56460009,0,1
3417351000006111,infection caused by bipolaris hawaiiense,,56460009,0,1
2590511000006116,"bipolar disorder, partial remission",,5703000,0,1
82091000006116,bipolar disorder in partial remission,E117500,5703000,0,1
294728010,unspecified schizophrenia,E100000,58214004,1,1
401855010,[x]other schizophrenia,Eu20y00,58214004,1,1
425711000006116,[x]schizophrenifrm psychos nos,Eu20y13,58214004,1,1
425601000006114,[x]schizophrenia,Eu20.00,58214004,1,1
294790014,schizophrenia,E10z.00,58214004,1,1
296040018,"[x]schizophrenia, unspecified",Eu20z00,58214004,1,1
294789017,other schizophrenia nos,E10yz00,58214004,1,1
370631000006117,[x]cenesthopathic schizophrenia,Eu20y11,58214004,1,1
401764014,other schizophrenia,E10y.00,58214004,1,1
425681000006117,[x]schizophreniform disord nos,Eu20y12,58214004,1,1
3468381000006118,severe depressed bipolar i disorder with psychotic features,,59617007,0,1
3468391000006115,"severe bipolar i disorder, most recent episode depressed with psychotic features",,59617007,0,1
3515942013,postpartum psychosis in remission,,60401000119104,0,1
3497641000006117,"severe bipolar i disorder, most recent episode depressed without psychotic features",,61403008,1,1
367051000006112,severe depressed bipolar i disorder without psychotic features,Eu31400,61403008,1,1
513731000006112,"bipolar affect disord, now depressed, severe, no psychosis",E115300,61403008,1,1
8019691000006113,"bipolar ii disorder, most recent episode rapid cycling",,61771000119106,0,1
8019701000006113,"bipolar 2 disorder, most recent episode rapid cycling",,61771000119106,0,1
3504761000006111,symbiotic psychosis,,61831009,1,1
3504751000006114,induced psychosis,,61831009,1,1
3527411000006119,"paranoid schizophrenia, in remission",,63181006,1,1
105029017,paranoid schizophrenia in remission,E103500,63181006,1,1
3528681000006111,"bipolar i disorder, most recent episode manic, in partial remission",,63249007,1,1
513741000006119,manic bipolar i disorder in partial remission,E114500,63249007,1,1
2601091000006116,cocaine induced psychosis with hallucinations,,6348008,0,1
3540391000006118,inhalant induced psychosis with hallucinations,,63983005,0,1
3552851000006118,"severe bipolar i disorder, most recent episode mixed, with psychotic features, mood-congruent",,64731001,0,1
3552841000006115,"severe mixed bipolar i disorder with psychotic features, mood-congruent",,64731001,0,1
418261000006112,[x]paraphrenic schizophrenia,Eu20011,64905009,1,1
107878010,paranoid schizophrenia,E103.00,64905009,1,1
294754019,unspecified paranoid schizophrenia,E103000,64905009,1,1
294760019,paranoid schizophrenia nos,E103z00,64905009,1,1
418221000006118,[x]paranoid schizophrenia,Eu20000,64905009,1,1
3555731000006114,paraphrenic schizophrenia,,64905009,1,1
3557751000006110,"bipolar i disorder, most recent episode mixed with postpartum onset",,65042007,0,1
3583611000006115,moderate depressed bipolar i disorder,,66631006,0,1
3583621000006111,"moderate bipolar i disorder, most recent episode depressed",,66631006,0,1
3589421000006110,"severe bipolar ii disorder, most recent episode major depressive, in partial remission",,67002003,0,1
3615761000006116,manic bipolar i disorder,,68569003,0,1
3615771000006111,"bipolar i disorder, most recent episode manic",,68569003,0,1
425551000006112,[x]schizoaffective psychosis nos,Eu25z11,68890003,1,1
114616017,chronic catatonic schizophrenia,E102200,68995007,1,1
3627341000006115,psychosis,,69322001,1,1
7538311000006116,planar-resection electrosurgical diathermy bipolar conducting unit,,700739009,0,1
7548121000006114,"universal electrosurgical diathermy system bipolar electrode, reprocessed",,701439000,0,1
7548151000006117,"universal electrosurgical diathermy system bipolar electrode, single-use",,701442006,0,1
12358661000006114,x-linked intellectual disability-psychosis-macroorchidism syndrome,,702356009,0,1
7558781000006111,"ppmx - mental retardation with psychosis, pyramidal signs, and macroorchidism",,702356009,0,1
2611981000006118,subchronic undifferentiated schizophrenia with acute exacerbations,,7025000,0,1
7567101000006113,bipolar clinic,,702826007,0,1
7568231000006110,schizophrenia clinic,,702919008,0,1
3647231000006119,"severe bipolar disorder with psychotic features, mood-congruent",,70546001,0,1
3651771000006116,subchronic residual schizophrenia with acute exacerbations,,70814008,0,1
3656651000006111,chronic residual schizophrenia,,71103003,0,1
362391000006117,acute polymorphic psychotic disorder without symptoms of schizophrenia,Eu23000,712824002,1,1
367971000006115,[x]bouffee delirante with symptoms of schizophrenia,Eu23111,712850003,1,1
7696261000006113,acute polymorphic psychotic disorder with symptoms of schizophrenia,,712850003,1,1
362381000006115,acute polymorphic psychotic disorder co-occurrent with symptoms of schizophrenia,Eu23100,712850003,1,1
3659701000006111,"mild bipolar ii disorder, most recent episode major depressive",,71294008,0,1
7707781000006115,partial hip replacement with bipolar prosthesis,,713686009,0,1
7756771000006110,"endoscopic electrosurgical electrode, bipolar, reprocessed",,717116004,0,1
7756991000006113,"endoscopic electrosurgical electrode, bipolar, reusable",,717132001,0,1
7757001000006117,"endoscopic electrosurgical electrode, bipolar, single-use",,717133006,0,1
7757081000006114,"percutaneous electrosurgical probe, spinal-denervation, bipolar",,717140007,0,1
7760691000006114,bipolaris cynodontis,,717666006,0,1
7767871000006111,"laparoscopic electrosurgical forceps, bipolar, reprocessed",,718121003,0,1
7790241000006117,psychosis co-occurrent and due to parkinson's disease,,719717006,0,1
3671041000006111,mild manic bipolar i disorder,,71984005,0,1
3671051000006113,"mild bipolar i disorder, most recent episode manic",,71984005,0,1
3672261000006113,bipolar cells of retina,,72060002,0,1
7822921000006111,provision of information about psychosis,,721775007,0,1
7826381000006113,hysteroscopic bipolar electrosurgical excision of uterine fibroid,,722022003,0,1
7849081000006116,bipolar type i disorder currently in full remission,,723903001,0,1
7849091000006118,bipolar type ii disorder currently in full remission,,723905008,0,1
7860831000006112,manic symptoms with primary psychotic disorder,,724758000,0,1
7860821000006114,manic symptoms co-occurrent and due to primary psychotic disorder,,724758000,0,1
7880861000006118,h/o: postpartum psychosis,,726623007,0,1
7880871000006113,history of postpartum psychosis,,726623007,0,1
3690811000006118,destruction of lesion or structure by biterminal bipolar fulguration,,73223003,0,1
3694651000006113,"bipolar i disorder, most recent episode mixed with catatonic features",,73471000,0,1
3515352015,cocaine-induced psychotic disorder with schizophreniform symptoms,,735750005,0,1
3515351010,psychotic disorder with schizophreniform symptoms caused by cocaine,,735750005,0,1
3526134018,bipolaris sorokiniana,,736989002,0,1
3532400017,bipolaris cactivora,,738459006,0,1
3713851000006119,"mild bipolar i disorder, most recent episode depressed",,74686005,0,1
3713841000006116,mild depressed bipolar i disorder,,74686005,0,1
3721561000006114,inhalant induced psychosis with delusions,,75122001,0,1
3725441000006111,"bipolar 1 disorder, single manic episode, in remission",,75360000,0,1
3725431000006118,"bipolar i disorder, single manic episode, in remission",,75360000,0,1
1667581000000114,[x]paranoid state in remission,Eu22300,755301000000102,1,1
8232521000006119,paranoid state in remission,,755301000000102,1,1
1667591000000111,[x]nonorganic psychosis in remission,Eu26.00,755311000000100,1,1
8232541000006114,non-organic psychosis in remission,,755311000000100,1,1
8232571000006118,"single major depressive episode, severe, with psychosis, psychosis in remission",,755321000000106,1,1
1755901000006112,"[x]single major depressive episode, severe, with psychosis, psychosis in remission",Eu32900,755321000000106,1,1
1755911000006110,"[x]recurrent major depressive episodes, severe, with psychosis, psychosis in remission",Eu32A00,755331000000108,1,1
8232591000006117,"recurrent major depressive episodes, severe, with psychosis, psychosis in remission",,755331000000108,1,1
3731661000006112,"bipolar i disorder, most recent episode depressed with melancholic features",,75752004,0,1
701051000006118,"mixed bipolar affective disorder, partial/unspec remission",E116500,760721000000109,0,1
8235161000006110,"mixed bipolar affective disorder, in partial remission",,760721000000109,0,1
3636801010,synthetic cathinone-induced psychotic disorder with schizophreniform symptoms,,762510005,0,1
3636803013,psychotic disorder with schizophreniform symptoms caused by synthetic cathinone,,762510005,0,1
12005681000006116,robotic reusable bipolar electrosurgical instrument,,763488001,0,1
12005691000006118,robotic single-use bipolar electrosurgical instrument,,763489009,0,1
701071000006111,"mixed bipolar affective disorder, severe",E116300,764591000000108,0,1
182871000006115,"recurrent manic episodes, severe",E111300,764621000000106,0,1
294805016,"single manic episode, severe",E110300,764641000000104,0,1
182861000006110,"recurrent manic episodes, in partial remission",E111500,764671000000105,0,1
8237821000006118,"recurrent manic episodes, in remission",,764681000000107,0,1
294807012,single manic episode in partial remission,E110500,764731000000103,0,1
8237871000006117,single manic episode in remission,,764741000000107,0,1
513721000006114,"bipolar affect disord, now depressed, severe with psychosis",E115400,765176007,0,1
396781000006119,"[x]manic-depress psychosis,depressed type+psychotic symptoms",Eu33312,765176007,0,1
367061000006114,psychosis and severe depression co-occurrent and due to bipolar affective disorder,Eu31500,765176007,0,1
3745281000006119,subchronic residual schizophrenia,,76566000,0,1
12059201000006117,"bipolar disorder, most recent episode depression",,767631007,0,1
12059211000006119,"bipolar disorder, most recent episode manic",,767632000,0,1
12059221000006110,"bipolar affective disorder, most recent episode mixed",,767633005,0,1
12059241000006115,"bipolar i disorder, most recent episode manic",,767635003,0,1
12059251000006118,"bipolar i disorder, most recent episode depression",,767636002,0,1
3773111000006115,"bipolar 1 disorder, single manic episode, in partial remission",,78269000,0,1
3773101000006118,"bipolar i disorder, single manic episode, in partial remission",,78269000,0,1
3779041000006118,"severe manic bipolar i disorder with psychotic features, mood-congruent",,78640000,0,1
3779051000006116,"severe bipolar i disorder, most recent episode manic, with psychotic features, mood-congruent",,78640000,0,1
3788101000006118,chronic undifferentiated schizophrenia with acute exacerbations,,79204003,0,1
294883014,moderate bipolar disorder,E117200,79584002,0,1
132503015,subchronic paranoid schizophrenia,E103100,79866005,1,1
3816191000006113,bipolaris australiensis,,80923003,0,1
3822471000006114,"severe bipolar ii disorder, most recent episode major depressive without psychotic features",,81319007,0,1
3850471000006114,moderate manic bipolar i disorder,,82998009,0,1
3850481000006112,"moderate bipolar i disorder, most recent episode manic",,82998009,0,1
367161000006113,[x]bipolar ii disorder,Eu31y11,83225003,1,1
3854401000006113,bipolar 2 disorder,,83225003,1,1
1785871000006117,[x]bipolar ii disorder,Eu31911,83225003,1,1
1785861000006112,bipolar ii disorder,Eu31900,83225003,1,1
3862661000006112,chronic schizophrenia,,83746006,1,1
1234861017,chronic schizophrenic,E100200,83746006,1,1
3878611000006116,"schizophreniform psychosis, depressive type",,84760002,1,1
425561000006114,"[x]schizoaffective psychosis, depressive type",Eu25111,84760002,1,1
425691000006119,"[x]schizophreniform psychosis, depressive type",Eu25112,84760002,1,1
3886291000006119,"bipolar disorder, in remission",,85248005,1,1
296130018,bipolar disorder in remission,Eu31700,85248005,1,1
3895621000006112,subchronic undifferentiated schizophrenia,,85861002,0,1
3898991000006114,"severe bipolar i disorder, single manic episode with psychotic features, mood-incongruent",,86058007,0,1
8302181000006114,hysteroscopic bipolar electrosurgical excision of uterine polyp,,869241000000100,0,1
3917861000006119,"bipolar i disorder, most recent episode depressed with postpartum onset",,87203005,0,1
3929161000006110,"bipolar i disorder, single manic episode with catatonic features",,87950005,0,1
3933581000006112,bipolaris spicifera,,88228004,0,1
3946141000006118,schizophreniform disorder,,88975006,1,1
8028531000006112,early intervention in psychosis team,,92191000000105,0,1
2648981000006119,"bipolar i disorder, single manic episode",,9340000,0,1
2648991000006116,"bipolar 1 disorder, single manic episode",,9340000,0,1
397661000006117,opioid-induced psychosis,Eu11500,943071000000104,0,1
397581000006111,cannabis-induced psychosis,Eu12500,943081000000102,0,1
397641000006116,cocaine-induced psychosis,Eu14500,943101000000108,0,1
8342781000006115,psychoactive substance-induced psychosis,,943121000000104,0,1
397691000006113,volatile inhalant-induced psychosis,Eu18500,943151000000109,0,1
8365411000006116,family intervention for psychosis,,985451000000105,0,1
8369811000006116,early intervention in psychosis procedures simple reference set,,991311000000100,0,1
